0,2
500,5
501,8
502,5
503,3
504,3
505,9
507,12
508,10
511,12
512,12
513,7
514,17
515,7
516,6
517,43
518,43
519,6
520,18
521,25
522,44
523,5
524,4
525,4
526,45
527,3
528,6
529,2
531,25
532,44
534,44
535,4
536,45
537,45
538,45
539,45
541,7
542,6
543,7
546,2
547,8
548,8
550,8
551,7
553,7
554,7
555,7
556,9
557,6
558,6
559,5
560,6
561,6
562,6
563,4
564,6
566,8
567,6
568,12
569,12
570,12
571,12
572,4
573,40
577,12
578,12
579,14
580,17
581,5
582,34
583,11
584,10
585,10
586,4
587,4
588,4
589,7
590,7
591,28
592,25
593,9
594,3
595,6
596,9
597,4
598,2
599,5
600,6
601,6
602,3
603,6
604,6
605,28
606,6
607,6
608,6
609,6
610,6
611,5
613,25
614,5
615,5
616,7
617,3
618,6
619,5
620,10
621,10
622,10
623,9
624,9
625,9
626,6
627,6
628,21
629,17
630,7
631,18
632,7
633,50
634,5
635,5
636,10
637,9
640,9
641,5
642,21
643,10
647,5
648,5
649,4
650,3
652,9
654,4
655,4
656,34
657,36
658,38
660,9
662,15
663,8
667,42
668,3
669,4
670,3
671,11
672,13
673,4
675,9
677,5
680,12
681,8
682,9
683,3
684,16
685,16
686,16
687,9
688,9
689,9
690,6
691,9
692,30
693,30
694,6
695,4
696,4
697,4
698,18
699,18
700,2
701,7
702,3
703,27
704,15
705,27
706,15
707,40
708,40
709,10
710,17
711,17
714,22
715,35
716,6
717,6
718,6
719,6
720,12
721,12
722,6
723,4
724,3
725,7
726,28
727,6
728,6
729,3
734,10
735,20
736,6
737,6
738,5
739,6
740,6
741,26
742,5
743,5
744,26
745,10
746,10
747,10
748,10
749,17
750,2
751,3
752,3
753,3
754,3
755,26
756,2
758,42
759,34
760,2
763,3
767,2
769,3
771,49
772,26
773,6
774,5
775,6
776,6
777,6
778,4
779,4
780,8
782,6
785,6
786,5
788,40
791,6
792,6
793,6
794,6
795,3
796,4
798,8
799,11
800,10
801,10
802,10
803,11
805,6
806,6
808,25
809,10
810,26
811,5
815,18
816,18
817,8
818,8
819,76
820,96
821,110
822,84
823,8
824,5
825,5
826,15
827,5
828,10
829,4
830,5
831,5
832,4
833,6
834,7
835,6
836,9
837,9
838,9
839,5
840,6
841,6
842,8
843,5
844,5
845,6
846,10
847,5
848,6
849,6
850,5
851,3
852,5
853,15
854,5
855,3
856,30
857,6
858,16
859,31
860,18
861,15
862,68
863,8
864,8
865,7
866,6
867,3
868,3
869,24
870,24
871,18
872,12
873,9
874,5
876,5
877,25
878,3
879,34
880,3
881,3
887,3
890,6
891,7
892,6
893,3
894,12
895,12
896,13
897,8
898,8
899,8
900,8
901,7
902,6
903,12
904,8
905,7
906,11
907,7
908,3
909,6
910,11
911,6
912,6
913,9
914,12
915,11
916,12
917,6
918,9
919,9
920,9
921,5
922,6
925,21
926,21
927,15
928,21
929,21
930,21
931,10
932,15
936,6
937,6
938,5
939,11
941,11
942,10
949,8
950,8
951,8
952,5
953,4
954,8
955,11
956,32
957,8
958,47
959,48
963,43
964,3
965,18
966,39
967,5
968,10
969,29
970,4
972,6
973,23
974,2
975,20
976,5
978,7
979,9
980,6
981,13
982,20
984,16
985,16
986,37
987,11
988,9
989,6
990,10
991,10
992,6
993,5
994,9
995,14
996,6
997,9
998,8
999,8
1000,8
1001,8
1002,9
1005,3
1006,4
1007,4
1008,15
1009,15
1010,9
1011,10
1012,15
1013,15
1014,5
1015,2
1016,4
1018,6
1019,6
1020,9
1021,10
1022,20
1024,14
1025,10
1026,10
1027,21
1028,10
1029,6
1030,3
1031,3
1032,3
1033,24
1034,3
1035,20
1037,34
1039,34
1040,34
1041,5
1042,9
1043,6
1044,5
1045,4
1046,5
1047,5
1048,3
1049,5
1050,8
1051,8
1052,8
1053,8
1054,8
1055,8
1056,4
1057,6
1059,5
1060,3
1062,19
1063,12
1064,7
1065,20
1066,7
1067,29
1068,3
1069,51
1070,20
1071,20
1072,17
1073,5
1074,5
1076,10
1077,15
1078,14
1079,15
1080,5
1081,5
1082,11
1083,13
1087,11
1088,3
1093,13
1094,7
1095,7
1096,42
1097,42
1098,42
1101,6
1102,7
1103,10
1104,18
1105,30
1106,39
1107,17
1108,17
1110,4
1111,25
1112,4
1113,16
1114,11
1115,12
1116,12
1120,50
1121,55
1122,3
1123,2
1124,10
1126,35
1127,4
1128,4
1130,12
1131,12
1132,12
1134,10
1135,5
1136,6
1137,6
1138,26
1139,10
1140,6
1141,7
1142,27
1143,12
1144,12
1145,3
1147,3
1148,11
1149,27
1150,10
1151,10
1153,9
1154,59
1155,49
1156,59
1157,49
1158,9
1160,28
1161,35
1162,20
1163,23
1164,15
1165,14
1166,15
1167,17
1168,17
1169,20
1170,31
1171,29
1172,9
1173,55
1174,4
1175,5
1177,9
1178,6
1179,40
1180,40
1181,9
1182,5
1183,8
1184,51
1188,5
1189,10
1190,10
1191,10
1192,5
1193,7
1194,6
1195,5
1196,5
1197,11
1198,6
1199,15
1200,30
1201,22
1202,22
1203,15
1204,11
1205,22
1206,10
1207,16
1208,14
1209,5
1210,37
1211,37
1212,10
1213,12
1214,6
1215,8
1216,5
1217,8
1218,16
1219,16
1220,16
1222,10
1223,20
1224,25
1225,19
1226,7
1227,10
1228,8
1229,11
1230,15
1231,15
1232,4
1233,5
1234,28
1235,17
1236,36
1237,9
1238,19
1239,23
1240,21
1241,19
1242,16
1243,17
1245,9
1246,21
1247,22
1248,21
1249,15
1250,13
1251,21
1252,21
1253,15
1254,10
1255,17
1256,10
1257,13
1258,17
1259,32
1260,16
1261,17
1263,19
1264,20
1265,20
1266,26
1267,27
1268,23
1269,31
1270,16
1271,6
1272,14
1273,13
1274,14
1275,26
1276,13
1277,10
1278,22
1279,22
1280,9
1281,16
1282,16
1283,4
1284,13
1285,20
1286,22
1287,22
1288,17
1289,18
1290,9
1291,11
1292,8
1293,23
1294,11
1295,17
1296,14
1297,9
1299,7
1300,7
1301,14
1302,14
1303,9
1304,19
1305,28
1306,30
1307,11
1308,20
1309,21
1310,7
1311,20
1312,12
1313,6
1314,12
1315,15
1316,12
1317,10
1318,12
1319,20
1320,14
1321,23
1323,19
1324,39
1325,35
