11172	18
5116	14
8790	24
28013	7
25434	15
28515	27
6256	10
4430	26
14291	8
8072	4
35218	18
39342	14
14874	16
34718	9
41441	9
12667	6
28586	17
25563	3
32425	11
38863	23
2165	20
33518	18
43978	21
38759	17
17934	23
34644	10
42810	8
1899	20
27739	8
9960	4
9156	15
17203	9
34034	11
19427	19
9866	3
6451	21
26402	10
26290	16
42045	27
15735	15
16211	15
23782	22
29525	13
9221	7
16089	8
38133	9
17629	18
4068	20
34844	21
41861	12
18526	17
6670	10
20601	15
6657	4
33097	6
15383	9
19452	34
17063	35
29316	17
37417	10
16598	14
38185	24
37120	12
35100	11
27910	11
26460	32
24493	60
33485	16
13181	5
44663	14
4489	40
28560	18
13240	9
37815	21
22566	9
16118	5
41118	12
2354	14
21162	3
2346	8
21514	7
26433	11
7615	14
29249	18
8259	2
31792	18
18211	3
30231	28
30759	15
1111	25
44900	6
36037	17
41308	14
17455	22
36594	13
39639	22
23387	15
16744	28
39974	8
28410	9
44791	10
5764	7
23705	21
17390	13
25271	24
2862	29
11077	12
27819	8
7575	18
42515	20
950	8
33044	11
8367	12
3126	18
1498	17
7088	12
1283	4
6374	3
5549	31
41658	13
33574	8
40975	8
31410	36
38003	14
14580	13
14672	17
26354	21
25941	15
21809	9
18355	15
27844	22
32431	12
23719	6
1398	41
36728	12
39681	12
6172	30
18960	16
34988	11
3381	24
41722	17
27554	15
19285	22
13228	10
28851	18
15871	16
23711	10
39179	26
23223	11
30049	14
10742	9
12075	7
40941	24
3130	29
4299	14
21950	23
35939	13
17422	12
12220	3
34598	21
37311	22
22064	4
1064	7
17196	22
38383	8
3644	21
22002	14
19499	4
23559	11
9873	8
16788	17
44618	12
41554	6
8139	13
6064	26
8663	10
30521	23
32036	28
23179	10
43952	31
32089	19
6646	17
3924	14
2920	28
41235	22
1033	24
10936	7
17366	16
32450	11
28360	23
25874	23
38339	12
23562	8
25505	
33098	6
19568	13
26904	26
18654	14
29732	15
31655	21
621	10
24211	18
